category,description,price,quantity,owner_id,name
PS5 Game,"Raid, pillage, and conquer as a Viking in Assassin's Creed Valhalla. Lead your clan to glory in 9th century England and forge your own Viking saga. Gently used, but the age of the Vikings beckons.",35,18,28,Assassin's Creed Valhalla
Xbox One Game,"Raid, pillage, and conquer as a Viking in Assassin's Creed Valhalla. Lead your clan to glory in 9th century England and forge your own Viking saga. Gently used, but the age of the Vikings beckons.",35,11,34,Assassin's Creed Valhalla
Xbox Series X Game,"Raid, pillage, and conquer as a Viking in Assassin's Creed Valhalla. Lead your clan to glory in 9th century England and forge your own Viking saga. Gently used, but the age of the Vikings beckons.",35,18,33,Assassin's Creed Valhalla
PS4 Game,"Experience the chaos of World War II in Battlefield V. Engage in epic multiplayer battles across land, air, and sea as you witness the greatest conflict in history. Lightly used, but the fight for freedom rages on.",20,14,27,Battlefield V
Xbox One Game,"Experience the chaos of World War II in Battlefield V. Engage in epic multiplayer battles across land, air, and sea as you witness the greatest conflict in history. Lightly used, but the fight for freedom rages on.",20,10,29,Battlefield V
PS4 Game,"Explore the far reaches of the galaxy in The Outer Worlds. Navigate through a retro-futuristic universe filled with colorful characters, dangerous creatures, and corporate intrigue. Used copy, but the fate of Halcyon is in your hands.",25,14,28,The Outer Worlds
PS4 Game," Test your might in the latest installment of the iconic fighting franchise, Mortal Kombat 11. Battle against a roster of deadly fighters, unleash brutal fatalities, and shape the destiny of the realms. Slightly used, but the fight for Earthrealm continues.",25,7,21,Mortal Kombat 11
Xbox One Game," Test your might in the latest installment of the iconic fighting franchise, Mortal Kombat 11. Battle against a roster of deadly fighters, unleash brutal fatalities, and shape the destiny of the realms. Slightly used, but the fight for Earthrealm continues.",25,8,28,Mortal Kombat 11
PS5 Game,"Enter the arena where it all began in Mortal Kombat I. Experience the original arcade classic that started a fighting game revolution remade for the modern audience. Factory sealed, the blood and sweat of combat await.",15,11,35,Mortal Kombat I
Xbox Series X Game,"Enter the arena where it all began in Mortal Kombat I. Experience the original arcade classic that started a fighting game revolution remade for the modern audience. Factory sealed, the blood and sweat of combat await.",15,4,24,Mortal Kombat I
Switch Game,"Enter the arena where it all began in Mortal Kombat I. Experience the original arcade classic that started a fighting game revolution remade for the modern audience. Factory sealed, the blood and sweat of combat await.",15,1,33,Mortal Kombat I
PS4 Game,"Rise through the ranks of organized crime in Mafia III. Set in 1968 New Bordeaux, navigate the seedy underworld as Lincoln Clay seeks revenge against the Italian mob. Pre-loved, but the city's secrets run deep.",10,19,23,Mafia III
Xbox One Game,"Rise through the ranks of organized crime in Mafia III. Set in 1968 New Bordeaux, navigate the seedy underworld as Lincoln Clay seeks revenge against the Italian mob. Pre-loved, but the city's secrets run deep.",10,4,37,Mafia III
PS4 Game,"Explore the existential journey of androids in Detroit: Become Human. Make choices that shape the fate of three android protagonists in a futuristic Detroit on the brink of revolution. Like-new condition, the line between man and machine blurs.",20,2,28,Detroit: Become Human
PS4 Game,"Enter the battlefield and fight for honor in For Honor. Choose your faction and engage in intense melee combat against knights, samurai, and vikings. Used copy, but the clash of steel echoes through the ages.",20,1,28,For Honor
Xbox One Game,"Enter the battlefield and fight for honor in For Honor. Choose your faction and engage in intense melee combat against knights, samurai, and vikings. Used copy, but the clash of steel echoes through the ages.",20,14,29,For Honor
PS4 Game,"Cause chaos and topple dictators in Just Cause 4. Explore the vast open-world of Solis, unleash destruction with an arsenal of weapons and gadgets, and ignite revolution. Gently used, but the flames of freedom still burn bright.",20,13,25,Just Cause 4
Xbox One Game,"Cause chaos and topple dictators in Just Cause 4. Explore the vast open-world of Solis, unleash destruction with an arsenal of weapons and gadgets, and ignite revolution. Gently used, but the flames of freedom still burn bright.",20,6,21,Just Cause 4
PS4 Game,"Cause chaos and destruction on a Mediterranean paradise in Just Cause 3. Take control of Rico Rodriguez as he liberates his homeland from a ruthless dictator using an arsenal of weapons and gadgets. Pre-loved, but the explosions are still spectacular.",15,6,22,Just Cause 3
Xbox One Game,"Cause chaos and destruction on a Mediterranean paradise in Just Cause 3. Take control of Rico Rodriguez as he liberates his homeland from a ruthless dictator using an arsenal of weapons and gadgets. Pre-loved, but the explosions are still spectacular.",15,6,30,Just Cause 3
PS4 Game,"Wage war against the Nazi regime in Wolfenstein II: The New Colossus. Join BJ Blazkowicz in an alternate history where the Nazis have won World War II and continue the fight for freedom. Slightly used, but the resistance lives on.",20,7,24,Wolfenstein II: The New Colossus
Xbox One Game,"Wage war against the Nazi regime in Wolfenstein II: The New Colossus. Join BJ Blazkowicz in an alternate history where the Nazis have won World War II and continue the fight for freedom. Slightly used, but the resistance lives on.",20,3,24,Wolfenstein II: The New Colossus
Switch Game,"Wage war against the Nazi regime in Wolfenstein II: The New Colossus. Join BJ Blazkowicz in an alternate history where the Nazis have won World War II and continue the fight for freedom. Slightly used, but the resistance lives on.",20,4,29,Wolfenstein II: The New Colossus
PS4 Game,"Lead the Inquisition and save Thedas from the brink of chaos in Dragon Age: Inquisition. Explore a vast and diverse world, recruit allies, and battle ancient evils in this epic RPG adventure. Like-new condition, the fate of the realm is in your hands.",25,16,23,Dragon Age: Inquisition
Xbox One Game,"Lead the Inquisition and save Thedas from the brink of chaos in Dragon Age: Inquisition. Explore a vast and diverse world, recruit allies, and battle ancient evils in this epic RPG adventure. Like-new condition, the fate of the realm is in your hands.",25,15,35,Dragon Age: Inquisition
PS5 Game,"Become the ultimate assassin in Hitman: World of Assassination. Travel the globe, eliminate high-profile targets, and unravel a conspiracy that spans the world. Gently used, but the world is still a playground for contract killers.",25,7,32,Hitman World of Assassination
PS4 Game,"Become the ultimate assassin in Hitman 3. Travel the globe, eliminate high-profile targets, and unravel a conspiracy that spans the world. Gently used, but the world is still a playground for contract killers.",25,3,35,Hitman 3
Xbox Series X Game,"Become the ultimate assassin in Hitman: World of Assassination. Travel the globe, eliminate high-profile targets, and unravel a conspiracy that spans the world. Gently used, but the world is still a playground for contract killers.",25,15,32,Hitman World of Assassination
Xbox One Game,"Become the ultimate assassin in Hitman 3. Travel the globe, eliminate high-profile targets, and unravel a conspiracy that spans the world. Gently used, but the world is still a playground for contract killers.",25,11,34,Hitman 3
PS5 Game,"Experience terror in the cold depths of space in Dead Space. Navigate the haunted corridors of the USG Ishimura as engineer Isaac Clarke battles grotesque creatures and his own sanity. Factory sealed, the horror awaits.",60,2,33,Dead Space
Xbox Series X Game,"Experience terror in the cold depths of space in Dead Space. Navigate the haunted corridors of the USG Ishimura as engineer Isaac Clarke battles grotesque creatures and his own sanity. Factory sealed, the horror awaits.",60,4,30,Dead Space
PS4 Game,"Wage a resistance and liberate London from tyranny in Watch Dogs Legion. Recruit and play as anyone in the city as you hack, infiltrate, and fight for freedom. Lightly used, but the city is still ripe for revolution.",35,20,22,Watch Dogs Legion
PS5 Game,"Wage a resistance and liberate London from tyranny in Watch Dogs Legion. Recruit and play as anyone in the city as you hack, infiltrate, and fight for freedom. Lightly used, but the city is still ripe for revolution.",35,12,34,Watch Dogs Legion
Xbox One Game,"Wage a resistance and liberate London from tyranny in Watch Dogs Legion. Recruit and play as anyone in the city as you hack, infiltrate, and fight for freedom. Lightly used, but the city is still ripe for revolution.",35,17,29,Watch Dogs Legion
Xbox Series X Game,"Wage a resistance and liberate London from tyranny in Watch Dogs Legion. Recruit and play as anyone in the city as you hack, infiltrate, and fight for freedom. Lightly used, but the city is still ripe for revolution.",35,9,32,Watch Dogs Legion
PS4 Game,"Dive into the seedy underworld of 1980s Japan in Yakuza 0. Follow the rise of series protagonist Kazuma Kiryu and his rival Goro Majima in this action-packed prequel to the Yakuza series. Used copy, but the streets of Kamurocho are as lively as ever.",25,2,34,Yakuza 0
Xbox One Game,"Dive into the seedy underworld of 1980s Japan in Yakuza 0. Follow the rise of series protagonist Kazuma Kiryu and his rival Goro Majima in this action-packed prequel to the Yakuza series. Used copy, but the streets of Kamurocho are as lively as ever.",25,11,28,Yakuza 0
PS4 Game," Return to the mean streets of Kamurocho in Yakuza Kiwami. Experience the original Yakuza game reimagined with updated graphics, gameplay, and additional content. Pre-loved, but the Dragon of Dojima's legend lives on.",20,15,23,Yakuza Kiwami
Xbox One Game," Return to the mean streets of Kamurocho in Yakuza Kiwami. Experience the original Yakuza game reimagined with updated graphics, gameplay, and additional content. Pre-loved, but the Dragon of Dojima's legend lives on.",20,13,29,Yakuza Kiwami
PS4 Game,"The Dragon of Dojima returns in Yakuza Kiwami 2. Remade with the Dragon Engine, experience the epic story of loyalty and betrayal in this stunning reimagining of Yakuza 2. Like-new condition, the streets of Kamurocho await.",20,9,36,Yakuza Kiwami 2
Xbox One Game,"The Dragon of Dojima returns in Yakuza Kiwami 2. Remade with the Dragon Engine, experience the epic story of loyalty and betrayal in this stunning reimagining of Yakuza 2. Like-new condition, the streets of Kamurocho await.",20,7,31,Yakuza Kiwami 2
PS4 Game,"Relive the early days of Kazuma Kiryu in Yakuza 3 Remastered. Experience the third installment of the Yakuza series with enhanced graphics and improved gameplay. Slightly used, but the bonds of brotherhood endure.",25,11,32,Yakuza 3 Remastered
Xbox One Game,"Relive the early days of Kazuma Kiryu in Yakuza 3 Remastered. Experience the third installment of the Yakuza series with enhanced graphics and improved gameplay. Slightly used, but the bonds of brotherhood endure.",25,2,26,Yakuza 3 Remastered
PS4 Game,"Return to the criminal underworld of Kamurocho in Yakuza 4 Remastered. Experience the fourth installment of the Yakuza series with enhanced graphics and improved gameplay. Pre-loved, but the streets hold many secrets.",20,14,32,Yakuza 4 Remastered
Xbox One Game,"Return to the criminal underworld of Kamurocho in Yakuza 4 Remastered. Experience the fourth installment of the Yakuza series with enhanced graphics and improved gameplay. Pre-loved, but the streets hold many secrets.",20,16,23,Yakuza 4 Remastered
PS4 Game,"Continue the saga of Kazuma Kiryu in Yakuza 5 Remastered. Explore five distinct cities across Japan, each with its own story and challenges. Like-new condition, the Dragon of Dojima's legend lives on.",25,14,34,Yakuza 5 Remastered
Xbox One Game,"Continue the saga of Kazuma Kiryu in Yakuza 5 Remastered. Explore five distinct cities across Japan, each with its own story and challenges. Like-new condition, the Dragon of Dojima's legend lives on.",25,2,35,Yakuza 5 Remastered
PS4 Game,"Uncover the truth behind a family tragedy in Yakuza 6: The Song of Life. Play as Kazuma Kiryu in his final chapter as he confronts his past and protects his loved ones. Gently used, but the legacy of the Dragon of Dojima endures.",30,7,24,Yakuza 6: The Song of Life
Xbox One Game,"Uncover the truth behind a family tragedy in Yakuza 6: The Song of Life. Play as Kazuma Kiryu in his final chapter as he confronts his past and protects his loved ones. Gently used, but the legacy of the Dragon of Dojima endures.",30,11,32,Yakuza 6: The Song of Life
PS4 Game,"Experience a new era for the Yakuza series in Yakuza 7: Like a Dragon. Follow the story of Ichiban Kasuga as he rises through the ranks of the criminal underworld in Yokohama. Lightly used, but the streets are still ripe for adventure.",45,15,23,Yakuza 7: Like a Dragon
PS5 Game,"Experience a new era for the Yakuza series in Yakuza 7: Like a Dragon. Follow the story of Ichiban Kasuga as he rises through the ranks of the criminal underworld in Yokohama. Lightly used, but the streets are still ripe for adventure.",45,20,35,Yakuza 7: Like a Dragon
Xbox Series X Game,"Experience a new era for the Yakuza series in Yakuza 7: Like a Dragon. Follow the story of Ichiban Kasuga as he rises through the ranks of the criminal underworld in Yokohama. Lightly used, but the streets are still ripe for adventure.",45,19,34,Yakuza 7: Like a Dragon
Xbox One Game,"Experience a new era for the Yakuza series in Yakuza 7: Like a Dragon. Follow the story of Ichiban Kasuga as he rises through the ranks of the criminal underworld in Yokohama. Lightly used, but the streets are still ripe for adventure.",45,9,29,Yakuza 7: Like a Dragon
PS4 Game," Embark on a side story adventure in Like a Dragon Gaiden: The Man Who Erased His Name. Follow the journey of a mysterious figure as he navigates the criminal underworld of Sotenbori. Factory sealed, uncover the truth behind the legend.",35,19,37,Like a Dragon Gaiden: The Man Who Erased His Name
PS5 Game," Embark on a side story adventure in Like a Dragon Gaiden: The Man Who Erased His Name. Follow the journey of a mysterious figure as he navigates the criminal underworld of Sotenbori. Factory sealed, uncover the truth behind the legend.",35,18,32,Like a Dragon Gaiden: The Man Who Erased His Name
Xbox Series X Game," Embark on a side story adventure in Like a Dragon Gaiden: The Man Who Erased His Name. Follow the journey of a mysterious figure as he navigates the criminal underworld of Sotenbori. Factory sealed, uncover the truth behind the legend.",35,7,33,Like a Dragon Gaiden: The Man Who Erased His Name
Xbox One Game," Embark on a side story adventure in Like a Dragon Gaiden: The Man Who Erased His Name. Follow the journey of a mysterious figure as he navigates the criminal underworld of Sotenbori. Factory sealed, uncover the truth behind the legend.",35,16,29,Like a Dragon Gaiden: The Man Who Erased His Name
PS4 Game,"Step into the shoes of a samurai in Like a Dragon: Ishin! Set during the Bakumatsu period, experience historical drama and intense swordplay in this Yakuza spin-off. Slightly used, but the way of the sword is timeless.",45,1,31,Like a Dragon: Ishin!
PS5 Game,"Step into the shoes of a samurai in Like a Dragon: Ishin! Set during the Bakumatsu period, experience historical drama and intense swordplay in this Yakuza spin-off. Slightly used, but the way of the sword is timeless.",45,4,28,Like a Dragon: Ishin!
Xbox Series X Game,"Step into the shoes of a samurai in Like a Dragon: Ishin! Set during the Bakumatsu period, experience historical drama and intense swordplay in this Yakuza spin-off. Slightly used, but the way of the sword is timeless.",45,20,26,Like a Dragon: Ishin!
Xbox One Game,"Step into the shoes of a samurai in Like a Dragon: Ishin! Set during the Bakumatsu period, experience historical drama and intense swordplay in this Yakuza spin-off. Slightly used, but the way of the sword is timeless.",45,6,26,Like a Dragon: Ishin!
PS4 Game,"Embark on a thrilling adventure with Ichiban Kasuga and Kazuma Kiryu in Like a Dragon: Infinite Wealth. Journey to the exotic locale of Hawaii and navigate the criminal underworld while facing personal struggles. Factory sealed, a tale of friendship and survival awaits.",70,2,23,Like a Dragon: Infinite Wealth
PS5 Game,"Embark on a thrilling adventure with Ichiban Kasuga and Kazuma Kiryu in Like a Dragon: Infinite Wealth. Journey to the exotic locale of Hawaii and navigate the criminal underworld while facing personal struggles. Factory sealed, a tale of friendship and survival awaits.",70,5,24,Like a Dragon: Infinite Wealth
Xbox Series X Game,"Embark on a thrilling adventure with Ichiban Kasuga and Kazuma Kiryu in Like a Dragon: Infinite Wealth. Journey to the exotic locale of Hawaii and navigate the criminal underworld while facing personal struggles. Factory sealed, a tale of friendship and survival awaits.",70,13,30,Like a Dragon: Infinite Wealth
Xbox One Game,"Embark on a thrilling adventure with Ichiban Kasuga and Kazuma Kiryu in Like a Dragon: Infinite Wealth. Journey to the exotic locale of Hawaii and navigate the criminal underworld while facing personal struggles. Factory sealed, a tale of friendship and survival awaits.",70,15,25,Like a Dragon: Infinite Wealth
PS5 Game,"Experience the thrill of racing in Gran Turismo 7. Drive a collection of high-performance cars on iconic tracks around the world and compete in various racing events. Like-new condition, the race for glory awaits.",45,13,36,Gran Turismo 7
PS4 Game,"Experience the thrill of racing in Gran Turismo 7. Drive a collection of high-performance cars on iconic tracks around the world and compete in various racing events. Like-new condition, the race for glory awaits.",45,17,35,Gran Turismo 7
PS4 Game,"Relive the epic saga of Dragon Ball Z in Dragon Ball Z: Kakarot. Play as Goku and other Z Fighters as you battle powerful foes, train to unlock new abilities, and save the universe from destruction. Lightly used, but the battles are as intense as ever.",35,8,31,Dragon Ball Z: Kakarot
PS5 Game,"Relive the epic saga of Dragon Ball Z in Dragon Ball Z: Kakarot. Play as Goku and other Z Fighters as you battle powerful foes, train to unlock new abilities, and save the universe from destruction. Lightly used, but the battles are as intense as ever.",35,2,28,Dragon Ball Z: Kakarot
Xbox Series X Game,"Relive the epic saga of Dragon Ball Z in Dragon Ball Z: Kakarot. Play as Goku and other Z Fighters as you battle powerful foes, train to unlock new abilities, and save the universe from destruction. Lightly used, but the battles are as intense as ever.",35,11,23,Dragon Ball Z: Kakarot
Xbox One Game,"Relive the epic saga of Dragon Ball Z in Dragon Ball Z: Kakarot. Play as Goku and other Z Fighters as you battle powerful foes, train to unlock new abilities, and save the universe from destruction. Lightly used, but the battles are as intense as ever.",35,10,25,Dragon Ball Z: Kakarot
PS4 Game,"Enter the world of competitive fighting in Street Fighter V. Choose from a roster of iconic characters and engage in fast-paced battles against players from around the world. Gently used, but the fight for dominance never ends.
",20,10,32,Street Fighter V
PS5 Game,"Enter the arena once again in Street Fighter 6. Choose your fighter and engage in intense battles against rivals from around the world. With updated mechanics and a diverse roster, the fight for supremacy continues. Factory sealed, the next chapter in the legendary fighting franchise awaits.",60,18,35,Street Fighter 6
PS4 Game,"Enter the arena once again in Street Fighter 6. Choose your fighter and engage in intense battles against rivals from around the world. With updated mechanics and a diverse roster, the fight for supremacy continues. Factory sealed, the next chapter in the legendary fighting franchise awaits.",60,14,31,Street Fighter 6
Xbox Series X Game,"Enter the arena once again in Street Fighter 6. Choose your fighter and engage in intense battles against rivals from around the world. With updated mechanics and a diverse roster, the fight for supremacy continues. Factory sealed, the next chapter in the legendary fighting franchise awaits.",60,13,22,Street Fighter 6
PS4 Game,"Navigate the gritty streets of Hong Kong in Sleeping Dogs. Play as undercover cop Wei Shen as he infiltrates and dismantles the criminal organizations plaguing the city. Pre-loved, but the line between law and order is blurred in this open-world action thriller.",20,2,33,Sleeping Dogs
Xbox One Game,"Navigate the gritty streets of Hong Kong in Sleeping Dogs. Play as undercover cop Wei Shen as he infiltrates and dismantles the criminal organizations plaguing the city. Pre-loved, but the line between law and order is blurred in this open-world action thriller.",20,6,27,Sleeping Dogs
PS4 Game,"Explore a cyberpunk future in Deus Ex: Mankind Divided. Unravel a conspiracy that threatens to tear apart society as augmented agent Adam Jensen. Gently used, but the choices you make will shape the fate of humanity.",20,2,33,Deus Ex: Mankind Divided
Xbox One Game,"Explore a cyberpunk future in Deus Ex: Mankind Divided. Unravel a conspiracy that threatens to tear apart society as augmented agent Adam Jensen. Gently used, but the choices you make will shape the fate of humanity.",20,11,23,Deus Ex: Mankind Divided
Switch Game,"Unleash witchy mayhem in Bayonetta 3. Join the titular Umbra Witch as she battles angels, demons, and otherworldly threats in stylish and over-the-top action. Like-new condition, the dance of chaos awaits in this highly anticipated sequel.",50,20,21,"Bayonetta 3
"
Switch Game,"Embark on a grand adventure in Dragon Quest XI: Echoes of an Elusive Age. Join the Luminary on a quest to save the world from darkness, recruit allies, and battle fearsome monsters in this epic RPG. Slightly used, but the journey to become a hero is unforgettable.",35,7,31,Dragon Quest XI: Echoes of an Elusive Age
PS4 Game,"Embark on a grand adventure in Dragon Quest XI: Echoes of an Elusive Age. Join the Luminary on a quest to save the world from darkness, recruit allies, and battle fearsome monsters in this epic RPG. Slightly used, but the journey to become a hero is unforgettable.",35,1,33,Dragon Quest XI: Echoes of an Elusive Age
Xbox One Game,"Embark on a grand adventure in Dragon Quest XI: Echoes of an Elusive Age. Join the Luminary on a quest to save the world from darkness, recruit allies, and battle fearsome monsters in this epic RPG. Slightly used, but the journey to become a hero is unforgettable.",35,8,32,Dragon Quest XI: Echoes of an Elusive Age
PS4 Game,"Journey through a beautiful and dangerous world in Ori and the Will of the Wisps. Play as Ori, a guardian spirit, as you navigate through stunning environments, solve puzzles, and uncover the mysteries of the forest. Like-new condition, the power of friendship and courage shines bright.",20,20,30,Ori and the Will of the Wisps
Xbox One Game,"Journey through a beautiful and dangerous world in Ori and the Will of the Wisps. Play as Ori, a guardian spirit, as you navigate through stunning environments, solve puzzles, and uncover the mysteries of the forest. Like-new condition, the power of friendship and courage shines bright.",20,6,33,Ori and the Will of the Wisps
PS4 Game,"Experience a unique co-op adventure in A Way Out. Play as two inmates, Leo and Vincent, as they escape from prison and embark on a journey of redemption and revenge. Lightly used, but the bonds of brotherhood will be tested in this gripping narrative experience.",45,17,34,A Way Out
Xbox One Game,"Experience a unique co-op adventure in A Way Out. Play as two inmates, Leo and Vincent, as they escape from prison and embark on a journey of redemption and revenge. Lightly used, but the bonds of brotherhood will be tested in this gripping narrative experience.",45,18,22,A Way Out
Switch Game,"Join Mario on a globe-trotting adventure in Super Mario Odyssey. Explore vibrant and imaginative kingdoms, collect Power Moons, and rescue Princess Peach from the clutches of Bowser. Pre-loved, but the joy of exploration and discovery awaits in this beloved platformer.",40,6,36,Super Mario Odyssey
Switch Game,"Embark on a vast and epic journey in Xenoblade Chronicles 2. Join Rex and his companions as they search for the mythical paradise of Elysium amidst a world torn apart by warring titans. Like-new condition, the fate of humanity hangs in the balance in this sprawling RPG.",55,20,22,Xenoblade Chronicles 2
Switch Game,"Return to the world of Alrest in Xenoblade Chronicles 3. Discover a new cast of characters, explore breathtaking landscapes, and uncover the secrets of the Conduit. Factory sealed, a new chapter in the Xenoblade saga awaits.",60,12,32,Xenoblade Chronicles 3
Switch Game,"Return to the epic world of Bionis and Mechonis in Xenoblade Chronicles: Definitive Edition. Experience the critically acclaimed RPG with updated visuals, remastered music, and additional content. Like-new condition, the fate of two worlds is in your hands.",45,5,36,Xenoblade Chronicles: Definitive Edition
Switch Game," Scale a treacherous mountain in Celeste. Join Madeline on a journey of self-discovery as she confronts inner demons and navigates challenging platforming levels. Gently used, but the triumph of overcoming obstacles is priceless.",25,17,30,Celeste
PS4 Game," Scale a treacherous mountain in Celeste. Join Madeline on a journey of self-discovery as she confronts inner demons and navigates challenging platforming levels. Gently used, but the triumph of overcoming obstacles is priceless.",25,6,32,Celeste
Xbox One Game," Scale a treacherous mountain in Celeste. Join Madeline on a journey of self-discovery as she confronts inner demons and navigates challenging platforming levels. Gently used, but the triumph of overcoming obstacles is priceless.",25,6,30,Celeste
Switch Game,"Enroll in the Officers Academy and shape the future of Fódlan in Fire Emblem: Three Houses. Lead one of three noble houses, train students in the art of warfare, and unravel the mysteries of a continent engulfed in conflict. Like-new condition, the fate of nations hangs in the balance.",45,7,27,"Fire Emblem: Three Houses
"
Switch Game,"Unleash demons and explore a post-apocalyptic Tokyo in Shin Megami Tensei V. Join a young protagonist as they navigate a world overrun by supernatural forces and make fateful decisions that will shape the future. Factory sealed, the battle for survival begins.",55,2,23,Shin Megami Tensei V
Switch Game,"Immerse yourself in tactical warfare and political intrigue in Fire Emblem: Engage. Lead your army to victory on the battlefield, forge alliances, and navigate the delicate balance of power in a war-torn kingdom. Brand new copy, the flames of war ignite anew.",40,14,34,Fire Emblem: Engage
Switch Game,"Descend into the haunting depths of Hallownest in Hollow Knight. Explore a vast interconnected world, battle fearsome creatures, and uncover ancient secrets in this atmospheric metroidvania. Pre-loved, but the journey to unravel the mysteries of the kingdom is unforgettable.",20,13,21,Hollow Knight
PS4 Game,"Descend into the haunting depths of Hallownest in Hollow Knight. Explore a vast interconnected world, battle fearsome creatures, and uncover ancient secrets in this atmospheric metroidvania. Pre-loved, but the journey to unravel the mysteries of the kingdom is unforgettable.",20,3,25,Hollow Knight
Xbox One Game,"Descend into the haunting depths of Hallownest in Hollow Knight. Explore a vast interconnected world, battle fearsome creatures, and uncover ancient secrets in this atmospheric metroidvania. Pre-loved, but the journey to unravel the mysteries of the kingdom is unforgettable.",20,10,25,Hollow Knight
Switch Game,"Embark on a journey of eight travelers across the vast continent of Orsterra in Octopath Traveler. Experience their individual stories, engage in strategic turn-based combat, and uncover the interconnected fate of their destinies. Lightly used, but the bonds forged on the road are unbreakable.",40,14,28,Octopath Traveler
Switch Game,"Make a splash and ink your turf in Splatoon 2. Join the colorful Inklings in fast-paced multiplayer battles, compete in ranked matches, and splat your way to victory. Like-new condition, the ink wars continue in this vibrant and quirky shooter.",40,17,28,Splatoon 2
PS4 Game,"Relive the classic adventures of Crash Bandicoot in stunning HD with the N. Sane Trilogy. Spin, jump, and wump your way through the iconic platforming levels as you thwart the plans of the nefarious Dr. Neo Cortex. Slightly used, but the nostalgia trip is worth it.",30,20,26,Crash Bandicoot N. Sane Trilogy
Xbox One Game,"Relive the classic adventures of Crash Bandicoot in stunning HD with the N. Sane Trilogy. Spin, jump, and wump your way through the iconic platforming levels as you thwart the plans of the nefarious Dr. Neo Cortex. Slightly used, but the nostalgia trip is worth it.",30,14,23,Crash Bandicoot N. Sane Trilogy
Switch Game,"Relive the classic adventures of Crash Bandicoot in stunning HD with the N. Sane Trilogy. Spin, jump, and wump your way through the iconic platforming levels as you thwart the plans of the nefarious Dr. Neo Cortex. Slightly used, but the nostalgia trip is worth it.",30,3,27,Crash Bandicoot N. Sane Trilogy
PS4 Game,"Soar through the skies and flame your foes in the Spyro Reignited Trilogy. Experience the classic adventures of Spyro the Dragon remastered with updated graphics and controls. Pre-loved, but the magic of the dragon realms awaits in this nostalgic collection.",35,10,36,Spyro Reignited Trilogy
Xbox One Game,"Soar through the skies and flame your foes in the Spyro Reignited Trilogy. Experience the classic adventures of Spyro the Dragon remastered with updated graphics and controls. Pre-loved, but the magic of the dragon realms awaits in this nostalgic collection.",35,7,23,Spyro Reignited Trilogy
Switch Game,"Soar through the skies and flame your foes in the Spyro Reignited Trilogy. Experience the classic adventures of Spyro the Dragon remastered with updated graphics and controls. Pre-loved, but the magic of the dragon realms awaits in this nostalgic collection.",35,1,23,Spyro Reignited Trilogy
PS5 Game,"Step into a time-bending adventure in Deathloop. Play as Colt, trapped in a time loop on the enigmatic island of Blackreef, and unravel its mysteries while facing off against rival assassins. Like-new condition, the cycle of death and deception awaits.",45,20,24,Deathloop
Xbox Series X Game,"Step into a time-bending adventure in Deathloop. Play as Colt, trapped in a time loop on the enigmatic island of Blackreef, and unravel its mysteries while facing off against rival assassins. Like-new condition, the cycle of death and deception awaits.",45,15,32,Deathloop
PS5 Game,"Explore a hostile alien planet and confront your own past in Returnal. Play as Selene, stranded on the mysterious world of Atropos, and uncover its secrets in a relentless cycle of death and rebirth. Factory sealed, the struggle for survival is eternal.",55,20,37,Returnal
PS5 Game,"Brave the cursed kingdom of Boletaria in Demon's Souls. Remade for the PlayStation 5, experience the punishing difficulty and haunting atmosphere of the original game with stunning visuals and improved performance. Like-new condition, the journey into darkness begins anew.",60,18,32,Demon's Souls (2020)
PS5 Game,"Blast off on an interdimensional adventure in Ratchet & Clank: Rift Apart. Join the dynamic duo as they traverse parallel worlds, battle nefarious foes, and save the multiverse from chaos. Gently used, but the rifts between dimensions are still open for exploration.",65,16,26,Ratchet & Clank: Rift Apart
PS5 Game," Embark on a journey to reconnect a fractured world in Death Stranding Director's Cut. Experience Hideo Kojima's visionary tale with enhanced visuals, new gameplay mechanics, and additional story content. Brand new copy, the path to reunification is paved with mystery and danger.",55,11,36,Death Stranding Director's Cut
Switch Game,"Face off against deadly robotic foes in Metroid Dread. Join bounty hunter Samus Aran as she investigates a mysterious alien planet and confronts the relentless EMMI robots. Like-new condition, the hunt for the truth is on in this long-awaited installment of the Metroid series.",50,9,27,Metroid Dread
PS5 Game,"Embark on a whimsical co-op adventure in It Takes Two. Play as Cody and May, a couple turned into dolls by magic, as they navigate a fantastical world and mend their broken relationship. Lightly used, but the power of cooperation knows no bounds in this heartfelt journey.
",35,10,24,It Takes Two
PS4 Game,"Discover a world filled with spirits and ancient magic in Kena: Bridge of Spirits. Play as Kena, a young spirit guide, as she uncovers the secrets of a forgotten village and battles malevolent forces. Like-new condition, the balance between light and darkness hangs in the balance.",45,20,30,Kena: Bridge of Spirits
PS4 Game,"Unleash psychic powers and battle monstrous creatures in Scarlet Nexus. Play as Yuito or Kasane, elite psionics soldiers, as they uncover the mysteries of a brain-punk future and confront the Others. Pre-loved, but the fate of humanity rests in your hands.",40,20,26,Scarlet Nexus
PS5 Game,"Team up with friends and fight for survival against hordes of ravenous zombies in Back 4 Blood. Choose from a diverse cast of characters, customize your loadout, and take on challenging missions in this thrilling cooperative shooter. Factory sealed, the fight for humanity's future has just begun.",50,1,26,Back 4 Blood
PS5 Game,"Join the Helldivers once again in an all-new galactic conflict in Helldivers 2. Dive into intense cooperative battles against alien forces, deploy devastating firepower, and liberate planets in the name of Super Earth. Brand new copy, freedom never tasted so sweet.",35,18,21,Helldivers 2
